Response_ID,Group_ID,Group,Statement,Optimist,Hopeful,Curious,Neutral,Cautious,Skeptical,Pessimist,Op_hop,Op_cur,Op_cau,Op_skep,Op_pess,Hop_cur,Hop_neu,Hop_cau,Hop_skep,Hop_pess,Cur_neu,Cur_cau,Cur_skep,Cur_pess,Cau_neu,Cau_skep,Cau_pess,Skep_neu,Skep_pess,Op_cur_cau,Hop_cur_cau,Hop_cau_skep,Cau_skep_neu,PA,Pos_emotion,NA,Neg_emotion,HomeOwner,Involvement,Choice,INNOV,RET,ENV,SUM_INN_RET_ENV,Age,Gender,Education,Income,Occupants,HomeType,Region,Region_recoded,Area,SubjKnow,Know_recoded,BoilerWilling,HobWilling,H2homeWilling,Composite_adoption,H2futures,H2community,H2home,Composite_acceptance,Response
R14,BLG14,1,As so much is unknown I’m wary but willing to learn.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Wary,2,2,2,3,3,3,9,2,2,3,1,3,5,9,1,4,3,3,3,3,3,3,5,5,5,5,2
R15,BLG15,1,As usual rural dwellers will miss out and should not have to pay for city dwellers benefits.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,2,3,1,6,3,2,3,4,2,2,3,2,5,2,2,1,1,1,1,3,1,1,1.67,6
R16,BLG16,1,"At a time when energy bills are rocketing, bills need to be reduced, not increased, regardless of the reasons.",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,1,2,2,5,2,2,3,2,1,1,8,3,3,1,1,1,2,1,1.33,4,3,3,3.33,1
R17,BLG17,1,At this moment I would try any way to lower the cost of heating and cooking in my house.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,3,3,1,1,5,2,2,3,2,3,4,11,4,3,1,1,5,5,5,5,9,9,9,9,6
R18,BLG18,1,Bad.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,3,3,3,9,1,1,4,6,3,5,4,3,4,2,2,2,1,1,1.33,4,5,7,5.33,3
R19,BLG19,1,Cleaner and reliable fuels are essential for the future.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,1,3,1,3,7,3,2,3,3,2,4,8,3,3,1,1,3,3,3,3,7,7,7,7,3
R20,BLG20,1,Concerned about the cost effect of the switchover.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Concerned,2,3,2,3,2,3,8,2,2,5,6,3,4,4,3,3,1,1,4,3,4,3.67,7,8,8,7.67,3
R21,BLG21,1,Concerned about the cost that will be involved for homeowners.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Concerned,2,2,2,3,3,3,9,2,2,4,6,3,2,3,2,5,1,1,3,3,3,3,7,7,7,7,3
R22,BLG22,1,Concerned over costings.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Concerned,1,2,3,3,3,3,9,2,2,5,5,3,2,2,2,3,2,2,3,3,3,3,7,6,6,6.33,6
R23,BLG23,1,Concerns regarding the costs.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Concerned,2,3,3,1,2,3,6,2,2,4,3,3,4,2,2,3,1,1,1,1,1,1,6,6,6,6,4
R24,BLG24,1,Considering changing to hydrogen boiler.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,1,2,2,3,7,1,1,4,5,3,1,11,4,4,2,2,1,2,1,1.33,7,9,10,8.67,2
R25,BLG25,1,"Cost is critical, people need to have a choice when it comes to financial commitments. Subsidising the cost using corporation tax would help people.",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,3,3,3,3,9,2,2,5,3,3,4,3,2,3,1,1,2,2,2,2,8,7,6,7,6
R26,BLG26,1,"Cost of living is not going down in the next 6 months, yet not everyone can afford a new £2000 boiler.",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,1,1,3,1,1,5,2,1,1,2,3,5,6,4,4,1,1,1,1,1,1,2,2,3,2.33,2
R27,BLG27,1,Could be a good change for the future.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,2,3,3,3,9,2,1,5,2,2,4,11,4,1,2,2,4,4,4,4,8,9,8,8.33,1
R28,BLG28,1,Couldn’t we find a more effective and cheaper fuel?,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,1,3,2,6,1,2,3,5,2,1,6,4,4,2,2,3,3,3,3,6,4,7,5.67,4
R29,BLG29,1,Dangerous and inevitably more expensive.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,3,2,2,2,6,3,1,5,3,2,4,11,4,5,1,1,1,1,1,1,2,2,2,2,1
R30,BLG30,1,Didn’t really know much about it before this.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,2,2,3,7,1,2,4,4,2,2,6,4,3,1,1,3,3,3,3,7,7,8,7.33,4
R31,BLG31,1,Didn't know much about it before. I feel a little more enlightened now and would be willing to change when needed if the price was comparable or better still cheaper.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,3,2,3,8,3,2,1,7,3,4,3,2,4,1,1,3,3,3,3,7,7,7,7,4
R32,BLG32,1,Do not want it.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,2,2,3,7,3,1,1,1,1,4,8,3,4,1,1,1,1,1,1,4,1,1,2,4
R33,BLG33,1,Don't know a lot about the subject.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,3,2,2,7,1,2,1,4,3,2,6,4,3,2,2,3,2,2,2.33,3,2,3,2.67,1
R34,BLG34,1,Don't know enough.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,1,1,0,2,3,1,1,3,3,1,8,3,5,2,2,4,4,4,4,8,8,9,8.33,1
R35,BLG35,1,Don’t know enough about it to comment about it.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,2,3,3,8,2,1,3,6,3,2,7,4,3,1,1,3,4,3,3.33,6,5,5,5.33,7
R36,BLG36,1,Don’t really have an opinion. Hope it helps the economy.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,3,1,2,6,1,1,3,2,3,5,6,4,3,2,2,2,2,3,2.33,6,4,6,5.33,7
R37,BLG37,1,Don't trust.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,1,1,2,1,3,6,3,1,4,8,2,2,3,2,5,2,2,2,2,2,2,7,7,7,7,7
R38,BLG38,1,Energy constant worry and no certainty so almost thinking of going electric only and having a generator.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Worried,1,1,2,3,1,1,5,3,2,3,8,3,2,3,2,5,2,2,3,2,4,3,1,7,7,5,2
R39,BLG39,1,Excellent.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,2,2,1,5,1,2,1,3,1,1,2,2,3,1,1,2,2,2,2,8,8,7,7.67,2
R40,BLG40,1,Excited.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Excited,1,,2,2,1,3,3,3,9,2,1,3,5,3,2,8,3,3,1,1,3,3,3,3,10,9,8,9,3
R41,BLG41,1,Exciting.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Excited,1,,2,3,2,3,3,3,9,1,1,4,3,2,5,3,2,5,2,2,3,2,3,2.67,6,4,4,4.67,7
R42,BLG42,1,Exciting and hopeful for a cleaner energy source and less reliance on foreign gas.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Excited and hopeful,2,,2,3,2,2,3,2,7,1,1,1,3,3,4,5,4,3,2,2,4,4,4,4,6,8,8,7.33,7
R43,BLG43,1,Fear change that will cost more.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Fearful,2,2,3,2,1,1,4,1,2,3,2,3,5,9,1,3,1,1,2,2,2,2,5,5,5,5,7
R44,BLG44,1,Fearful of the added costs associated with the switchover.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Fearful,1,3,3,2,3,3,8,2,2,5,3,3,4,7,4,4,2,2,2,1,1,1.33,7,6,5,6,7
R45,BLG45,1,"Feel quite nervous thinking about it, probably because it’s something new.",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Nervous,2,1,2,3,2,3,8,1,2,4,3,3,4,8,3,5,1,1,2,2,2,2,4,4,4,4,7
R46,BLG46,1,"For this idea, but don't know enough about it.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,3,3,3,9,3,2,1,2,1,5,8,3,3,1,1,3,3,4,3.33,7,7,7,7,7
R47,BLG47,1,"Found out some new information. For me, personally I like the fact it could be better for the environment, however, the cost and charges are concerning as they could be more expensive than what we are paying currently.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Concerned,2,2,2,2,2,3,7,1,1,1,3,3,4,10,2,3,1,1,3,3,3,3,8,8,8,8,6
R48,BLG48,1,"Gas may run out in the future, so we need a backup plan.",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,3,3,3,9,2,2,1,2,1,1,9,1,3,1,1,5,5,5,5,9,9,9,9,7
R49,BLG49,1,Go for it.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,3,3,9,1,2,4,3,3,5,4,3,4,2,2,3,3,3,3,7,7,7,7,7
R50,BLG50,1,Good.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,2,3,8,1,1,3,4,3,5,7,4,5,2,2,4,4,5,4.33,10,8,8,8.67,6
R51,BLG51,1,Good.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,1,1,3,3,7,2,2,5,3,3,5,3,2,3,2,2,3,3,3,3,5,5,5,5,2
R52,BLG52,1,Good and welcome development.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,3,3,3,3,9,2,2,5,4,3,4,7,4,4,2,2,5,5,5,5,9,8,8,8.33,2
R53,BLG53,1,Good ideas and tech.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,2,3,3,8,2,1,5,6,3,5,8,3,5,3,3,2,3,4,3,6,7,8,7,6
R54,BLG54,1,Good if it means cheaper energy.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,1,1,3,3,3,9,2,1,1,3,3,2,3,2,5,1,1,4,4,4,4,9,7,8,8,3
R55,BLG55,1,Good use and worthy.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,3,2,3,8,1,1,5,4,3,5,8,3,3,2,2,4,2,2,2.67,3,6,7,5.33,2
R56,BLG56,1,Great idea to use electrolysis to separate oxygen from hydrogen.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,1,1,3,3,3,9,2,1,5,6,3,2,10,2,3,3,3,3,3,3,3,4,5,7,5.33,7
R57,BLG57,1,"Green energy using hydrogen is very promising for reducing greenhouse emissions, however it will all come down to cost. Fuel bills are already too high for a lot of people, so I don't think the burden of higher fuel bills to fund the change over should really be given to homeowners.",.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,3,3,2,3,8,3,2,3,5,3,2,10,2,3,2,2,4,4,4,4,10,10,10,10,7
R58,BLG58,1,Happy if it's going to help the environment.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Happy,.,,2,2,2,3,3,2,8,2,2,1,2,3,4,6,4,3,2,2,3,3,2,2.67,8,9,8,8.33,7
R59,BLG59,1,Having seen a few items on news programmes concerning blue hydrogen it seems to be a big ask to go for a 2030 push to start a major switch to hydrogen. Will it be a flash in the pan like fusion energy from water?,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,3,2,3,8,3,1,5,8,3,2,6,4,3,2,2,3,3,3,3,7,7,7,7,7
R60,BLG60,1,"Having seen the rollout and shutdown of hydrogen power fueling stations for cars, I’m not sure about how effective other rollouts would be.",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,3,3,9,1,1,3,4,2,5,9,1,3,3,3,2,2,2,2,6,5,5,5.33,6
R61,BLG61,1,Hopefully it be cheaper.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Hopeful,.,,2,2,3,3,2,2,7,2,1,1,8,3,2,4,3,4,3,3,2,2,2,2,7,8,7,7.33,6
R62,BLG62,1,"Households shouldn’t have to pay for this, governments should support this as best as they can.",.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,2,2,7,1,2,3,3,2,4,1,1,5,2,2,2,2,2,2,5,4,4,4.33,1
R63,BLG63,1,How can all people be expected to pay for things when the cost of living is spinning out of control.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,2,3,2,2,7,3,2,4,3,2,1,8,3,3,1,1,2,2,2,2,6,4,4,4.67,5
R64,BLG64,1,Hydrogen is a clean more friendly energy that better for the environment.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,2,3,3,8,2,1,1,2,3,4,3,2,3,2,2,4,3,4,3.67,7,7,7,7,7
R65,BLG65,1,Hydrogen is a gas that is beneficial at times to the economy.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,1,2,3,6,1,1,5,3,3,4,11,4,4,2,2,3,2,3,2.67,2,6,3,3.67,6
R66,BLG66,1,Hydrogen is something I was not very aware of but now I am into this.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Excited,.,,2,2,2,3,3,3,9,1,2,3,5,3,2,6,4,3,2,2,3,4,3,3.33,8,8,7,7.67,6
R67,BLG67,1,Hydrogen is useful.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,3,2,2,2,6,1,2,4,5,2,1,4,3,4,3,3,2,2,2,2,3,4,6,4.33,7
R68,BLG68,1,Hydrogen may become very common across Britain.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,3,3,2,8,1,1,4,6,3,2,11,4,5,2,2,3,2,2,2.33,3,4,6,4.33,4
R69,BLG69,1,Hydrogen seems like a sustainable source so it would be good to have the following in your home.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,3,3,3,9,1,1,5,5,3,2,5,4,4,2,2,4,5,4,4.33,7,7,8,7.33,6
R70,BLG70,1,"Hydrogen sounds dangerous the UK cannot rush to net zero, endangering and impoverishing us all. The UK could go net zero tomorrow and it would have next to no impact on climate change at all considering the UK contributes less than one percent of global emissions.",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,3,2,3,8,1,2,4,2,3,2,8,3,3,2,2,2,2,1,1.67,5,1,0,2,6
R71,BLG71,1,"I agree we need to move forward with this, but I just don’t understand enough about how it works.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,3,3,3,9,3,2,1,4,2,2,7,4,5,1,1,3,3,2,2.67,8,8,8,8,2
R72,BLG72,1,I am going to do more research.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,1,1,3,3,3,9,2,1,1,4,2,5,6,4,1,1,1,3,3,3,3,5,5,5,5,3
R73,BLG73,1,I am happy to switch.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Happy,.,,2,2,2,2,2,3,7,1,2,3,4,3,4,10,2,1,1,1,4,4,4,4,9,7,7,7.67,3
R74,BLG74,1,I am hopeful to see how this develops in the future and what it may mean for our society and for our climate.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Hopeful,.,,2,3,1,3,2,2,7,1,2,5,4,2,4,5,4,5,2,2,5,5,5,5,8,9,10,9,7
R75,BLG75,1,I am interested to find out more about this and would consider moving to a hydrogen option for our home. But I would want more information around the costing before making this decision.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,3,3,9,1,2,5,4,2,4,7,4,3,2,2,4,4,4,4,7,6,8,7,3
R76,BLG76,1,I am keen to see cars change to hydrogen before homes.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Keen,.,,2,3,2,3,1,3,7,1,2,3,6,3,2,10,2,3,2,2,3,4,2,3,3,6,2,3.67,3
R77,BLG77,1,"I am largely in favour of hydrogen, however, grant aid needs to be available to the poor.",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,2,1,3,6,3,2,5,5,1,5,6,4,3,2,2,5,5,5,5,10,10,10,10,.
R78,BLG78,1,I am looking forward to finally living and bringing up my daughter in a safer and more efficient home.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,3,3,3,3,3,9,2,1,4,4,3,4,2,2,3,2,2,3,3,2,2.67,10,10,9,9.67,5
R79,BLG79,1,I am not troubled by this topic.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,1,2,2,3,3,2,8,1,1,4,8,3,2,1,1,3,3,3,3,2,2,2.33,5,3,10,6,2
R80,BLG80,1,I am open and willing to switch.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,1,3,2,2,7,1,1,5,5,3,4,4,3,3,3,3,3,4,3,3.33,5,6,6,5.67,1
R81,BLG81,1,I am open to changes.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,2,2,3,1,3,7,1,2,5,3,3,2,9,1,3,1,1,3,3,2,2.67,5,4,3,4,2
R82,BLG82,1,"I am skeptical about changing to hydrogen, mostly due to the cost implications of this.",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Skeptical,1,3,2,3,1,3,7,3,2,5,5,3,2,7,4,5,2,2,1,1,2,1.33,4,4,3,3.67,4
R83,BLG83,1,I am slightly concerned over safety issues and the cost of implementing this and where the funds would come from.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,1,Concerned,2,2,3,3,2,3,8,3,2,1,4,2,2,11,4,5,1,1,2,2,2,2,6,6,6,6,6
R84,BLG84,1,I am unsure about it.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,,2,3,3,3,3,2,8,1,1,4,3,2,4,1,1,3,3,3,2,3,2,2.33,5,6,6,5.67,3
